,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:19:31.59, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6478, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:20:30.86, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6478, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:40:35.22, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6482, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:41:37.73, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6482, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:42:09.58, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6483, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:43:02.52, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6483, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:46:00.02, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6485, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:47:01.36, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6485, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , SMMU-2      , SWITCH    , 2017-07-10  03:50:34.57, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 20 62 40 79 07 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  04:01:21.36, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6488, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  04:02:14.73, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6488, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , SMMU-3      , SWITCH    , 2017-07-10  09:53:50.88, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 65 09 42 52 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  14:39:42.62, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6579, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  14:40:34.41, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6579, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  14:47:18.40, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6582, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  14:48:07.86, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6582, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  15:21:09.41, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6587, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  15:22:09.21, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6587, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , SMMU-2      , SWITCH    , 2017-07-10  15:38:49.85, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 20 88 90 50 80 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:42:20.87, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6600, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:43:01.37, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6600, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:45:19.53, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6602, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:46:17.08, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6602, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:52:04.05, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6603, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:52:56.29, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6603, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:55:26.17, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6604, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:56:20.83, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6604, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:57:14.03, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6606, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:58:08.94, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6606, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:58:14.68, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6607, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  16:59:16.17, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6607, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:01:38.72, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6609, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:02:31.95, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6609, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:06:12.02, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6610, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:07:10.35, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6610, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:17:46.56, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6613, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:18:48.35, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6613, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:21:13.75, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6614, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:22:16.12, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6614, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:24:23.32, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6615, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:25:10.86, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6615, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:26:20.70, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6616, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:27:14.04, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6616, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:28:07.34, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6618, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:29:03.34, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6618, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:35:21.78, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6620, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:36:20.26, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6620, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:38:27.20, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6621, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:39:23.95, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6621, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  17:41:46.26, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6622, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
